최상위계층,병원,병원_중분류명,건수,표준_중분류명
약제,서울대,(없음),388,기타
약제,서울성모,(없음),435,기타
약제,세브란스,(없음),894,기타
약제,아산,(없음),525,기타
약제,삼성,기타,463,기타
제증명수수료,서울대,(없음),48,기타
제증명수수료,서울성모,(없음),78,기타
제증명수수료,세브란스,(없음),107,기타
제증명수수료,아산,(없음),45,기타
제증명수수료,삼성,기타,53,기타
치료재료,서울대,CABLE SYSTEM,2,CABLE SYSTEM
치료재료,서울대,CRANIOFACIAL IMPLANTS,16,CRANIOFACIAL IMPLANTS
치료재료,서울성모,CRANIOFACIAL IMPLANTS,8,CRANIOFACIAL IMPLANTS
치료재료,아산,CRANIOFACIAL IMPLANTS,16,CRANIOFACIAL IMPLANTS
치료재료,서울성모,CRANIOFACIAL IMPLANTS(맞춤형),8,CRANIOFACIAL IMPLANTS
치료재료,아산,CRANIOFACIAL IMPLANTS(맞춤형),18,CRANIOFACIAL IMPLANTS
치료재료,서울대,EAR PACKING용(흡수성),1,EAR PACKING용(흡수성)
치료재료,서울대,IV IN LINE FILTER(5㎛),4,IV IN LINE FILTER(5㎛)
치료재료,서울대,OSTOMY용 ACCESSORY,9,OSTOMY용 ACCESSORY
치료재료,서울성모,OSTOMY용 ACCESSORY,11,OSTOMY용 ACCESSORY
치료재료,아산,OSTOMY용 ACCESSORY,20,OSTOMY용 ACCESSORY
치료재료,서울대,각막교차결합술용,1,각막교차결합술용
치료재료,서울성모,각막교차결합술용,1,각막교차결합술용
치료재료,아산,각막교차결합술용,1,각막교차결합술용
치료재료,서울성모,각막내 링 삽입수술용(원추각막),1,각막내 링 삽입수술용(원추각막)
치료재료,아산,각막내 링 삽입수술용(원추각막),1,각막내 링 삽입수술용(원추각막)
치료재료,서울대,갑상선 양성결절의 고주파 열치료용,3,갑상선 양성결절의 고주파 열치료용
치료재료,서울성모,갑상선 양성결절의 고주파 열치료용,3,갑상선 양성결절의 고주파 열치료용
치료재료,아산,갑상선 양성결절의 고주파 열치료용,4,갑상선 양성결절의 고주파 열치료용
치료재료,서울대,경막외강 신경박리술 및 감압 신경성형술용,6,경막외강 신경박리술 및 감압 신경성형술용
치료재료,서울성모,경막외강 신경박리술 및 감압 신경성형술용,4,경막외강 신경박리술 및 감압 신경성형술용
치료재료,아산,경막외강 신경박리술 및 감압 신경성형술용,3,경막외강 신경박리술 및 감압 신경성형술용
치료재료,서울대,경막외강 신경박리술용,1,경막외강 신경박리술용
치료재료,서울성모,경막외강 신경박리술용,2,경막외강 신경박리술용
치료재료,아산,경막외강 신경박리술용,1,경막외강 신경박리술용
치료재료,아산,경성콘텍트렌즈시술용,1,경성콘텍트렌즈시술용
치료재료,서울대,경피적 기계화학 정맥폐색술용,2,경피적 기계화학 정맥폐색술용
치료재료,서울성모,경피적 기계화학 정맥폐색술용,2,경피적 기계화학 정맥폐색술용
치료재료,아산,경피적 기계화학 정맥폐색술용,1,경피적 기계화학 정맥폐색술용
치료재료,서울성모,경피적 대동맥판 삽입용,4,경피적 대동맥판 삽입용
치료재료,서울성모,경피적 대동맥판 삽입용 GUIDE WIRE,2,경피적 대동맥판 삽입용
치료재료,서울성모,경피적 대동맥판 삽입용 INTRODUCER SHEATH,2,경피적 대동맥판 삽입용
치료재료,서울성모,경피적 대동맥판 삽입용 VALVULOPLASTY CATHETER,1,경피적 대동맥판 삽입용
치료재료,아산,경피적 초음파 건 절제술용 절삭기,1,경피적 초음파 건 절제술용 절삭기
치료재료,서울대,고압용필터(조영제용),1,고압용필터(조영제용)
치료재료,서울성모,고압용필터(조영제용),2,고압용필터(조영제용)
치료재료,서울성모,고주파 정맥내막폐쇄요법용,2,고주파 정맥내막폐쇄요법용
치료재료,아산,고주파 정맥내막폐쇄요법용,1,고주파 정맥내막폐쇄요법용
치료재료,서울대,골수 내 하지길이 자성조절 연장술용,3,골수 내 하지길이 자성조절 연장술용
치료재료,아산,골수 내 하지길이 자성조절 연장술용,3,골수 내 하지길이 자성조절 연장술용
치료재료,서울대,관상동맥내 광학파 단층촬영용,1,관상동맥내 광학파 단층촬영용
치료재료,서울성모,관상동맥내 광학파 단층촬영용,1,관상동맥내 광학파 단층촬영용
치료재료,아산,관상동맥내 광학파 단층촬영용,2,관상동맥내 광학파 단층촬영용
치료재료,서울대,구강내 장치,1,구강내 장치
치료재료,서울대,굴절교정렌즈,2,굴절교정렌즈
치료재료,서울대,근골격계 종양의 고주파 열치료용,2,근골격계 종양의 고주파 열치료용
치료재료,아산,근골격계 종양의 고주파 열치료용,2,근골격계 종양의 고주파 열치료용
치료재료,서울대,기관지내시경초음파 가이드시스 KIT,4,기관지내시경초음파 가이드시스 KIT
치료재료,서울성모,기관지내시경초음파 가이드시스 KIT,1,기관지내시경초음파 가이드시스 KIT
치료재료,아산,기관지내시경초음파 가이드시스 KIT,3,기관지내시경초음파 가이드시스 KIT
치료재료,삼성,기타,671,기타
치료재료,서울대,기타,493,기타
치료재료,서울성모,기타,341,기타
치료재료,세브란스,기타,2403,기타
치료재료,서울성모,기타 관절치환용 재료,3,기타 관절치환용 재료
치료재료,아산,기타 관절치환용 재료,1,기타 관절치환용 재료
치료재료,서울대,기타 관절치환용 재료(골결손대체용),4,기타 관절치환용 재료
치료재료,서울성모,기타 관절치환용 재료(골결손대체용),2,기타 관절치환용 재료
치료재료,아산,기타 관절치환용 재료(골결손대체용),2,기타 관절치환용 재료
치료재료,서울성모,기타근관충전재(MTA),4,기타근관충전재(MTA)
치료재료,서울성모,내시경 초음파를 이용한 세침흡인술용,8,"내시경 초음파를 이용한 세침흡인술용, 경벽배액술용"
치료재료,서울대,"내시경 초음파를 이용한 세침흡인술용, 경벽배액술용",12,"내시경 초음파를 이용한 세침흡인술용, 경벽배액술용"
치료재료,아산,"내시경 초음파를 이용한 세침흡인술용, 경벽배액술용",13,"내시경 초음파를 이용한 세침흡인술용, 경벽배액술용"
치료재료,서울대,내시경적 경막외강 신경근성형술용,2,내시경적 경막외강 신경근성형술용
치료재료,서울성모,내시경적 경막외강 신경근성형술용,2,내시경적 경막외강 신경근성형술용
치료재료,아산,내시경적 경막외강 신경근성형술용,4,내시경적 경막외강 신경근성형술용
치료재료,서울대,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질,1,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질
치료재료,서울성모,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질,1,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질
치료재료,아산,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질,1,내시경적 식도 또는 위 정맥류 치료용/(비흡수성)색전물질
치료재료,아산,단일 융모막성 다태임신에 실시하는 고주파 열응고를 이용한 제대 폐색술용,1,단일 융모막성 다태임신에 실시하는 고주파 열응고를 이용한 제대 폐색술용
치료재료,서울대,대퇴과 연골손상에 대한 미세골절술용,2,대퇴과 연골손상에 대한 미세골절술용
치료재료,서울성모,대퇴과 연골손상에 대한 미세골절술용,2,대퇴과 연골손상에 대한 미세골절술용
치료재료,아산,대퇴과 연골손상에 대한 미세골절술용,1,대퇴과 연골손상에 대한 미세골절술용
치료재료,서울대,동종진피(IMPLANT용-유방재건술용 제외),8,동종진피
치료재료,서울성모,동종진피(IMPLANT용-유방재건술용 제외),14,동종진피
치료재료,아산,동종진피(IMPLANT용-유방재건술용 제외),14,동종진피
치료재료,서울성모,동종진피(INJECT용),13,동종진피
치료재료,서울대,동종진피(INJECT용/POWDER),5,동종진피
치료재료,아산,동종진피(INJECT용/POWDER),997,동종진피
치료재료,아산,동종진피(상부관절막재건술용),1,동종진피
치료재료,서울대,드레싱 고정류(카테터 고정용/드레싱 목적 사용 시 비급여 제외),15,드레싱 고정류
치료재료,서울성모,드레싱 고정류(카테터 고정용/드레싱 목적 사용 시 비급여 제외),19,드레싱 고정류
치료재료,아산,드레싱 고정류(카테터 고정용/드레싱 목적 사용 시 비급여 제외),44,드레싱 고정류
치료재료,서울대,로봇보조 인공관절 치환술용 절삭기,1,로봇보조 인공관절 치환술용 절삭기
치료재료,서울성모,말초신경자극술용 치료재료,6,말초신경자극술용 치료재료
치료재료,아산,발톱고정용 재료,1,발톱고정용 재료
치료재료,서울대,방광내 점적주입 재료,2,방광내 점적주입 재료
치료재료,서울성모,방광내 점적주입 재료,1,방광내 점적주입 재료
치료재료,아산,방광내 점적주입 재료,2,방광내 점적주입 재료
치료재료,서울대,변배출 밀폐시스템,2,변배출 밀폐시스템
치료재료,아산,변배출 밀폐시스템,5,변배출 밀폐시스템
치료재료,서울대,변연절제술용 절삭기,1,변연절제술용 절삭기
치료재료,서울성모,변연절제술용 절삭기,1,변연절제술용 절삭기
치료재료,아산,변연절제술용 절삭기,2,변연절제술용 절삭기
치료재료,서울대,보조기,19,보조기
치료재료,서울성모,보조기,20,보조기
치료재료,아산,보조기,16,보조기
치료재료,서울대,분리형 니들필터,1,분리형 니들필터
치료재료,서울대,비침습적 지혈용(대퇴-기기형),1,비침습적 지혈용
치료재료,서울성모,비침습적 지혈용(대퇴-기기형),2,비침습적 지혈용
치료재료,서울성모,비침습적 지혈용(대퇴-밴드형),1,비침습적 지혈용
치료재료,서울대,비침습적 지혈용(반창고형),3,비침습적 지혈용
치료재료,서울성모,비침습적 지혈용(반창고형),2,비침습적 지혈용
