최상위계층,표준_중분류명,병원,병원_소분류명,건수,표준_소분류명
약제,기타,삼성,(없음),463,(없음)
약제,기타,서울대,(없음),388,(없음)
약제,기타,서울성모,(없음),435,(없음)
약제,기타,세브란스,(없음),894,(없음)
약제,기타,아산,(없음),525,(없음)
제증명수수료,기타,삼성,(없음),53,(없음)
제증명수수료,기타,서울대,(없음),48,(없음)
제증명수수료,기타,서울성모,(없음),78,(없음)
제증명수수료,기타,세브란스,(없음),107,(없음)
제증명수수료,기타,아산,(없음),45,(없음)
치료재료,CABLE SYSTEM,서울대,(없음),2,(없음)
치료재료,CRANIOFACIAL IMPLANTS,서울대,(없음),16,(없음)
치료재료,CRANIOFACIAL IMPLANTS,서울성모,(없음),8,(없음)
치료재료,CRANIOFACIAL IMPLANTS,서울성모,(없음),8,(없음)
치료재료,CRANIOFACIAL IMPLANTS,아산,(없음),16,(없음)
치료재료,CRANIOFACIAL IMPLANTS,아산,(없음),18,(없음)
치료재료,EAR PACKING용(흡수성),서울대,(없음),1,(없음)
치료재료,IV IN LINE FILTER(5㎛),서울대,(없음),4,(없음)
치료재료,OSTOMY용 ACCESSORY,서울대,(없음),9,(없음)
치료재료,OSTOMY용 ACCESSORY,서울성모,(없음),11,(없음)
치료재료,OSTOMY용 ACCESSORY,아산,(없음),20,(없음)
치료재료,각막교차결합술용,서울대,(없음),1,(없음)
치료재료,각막교차결합술용,서울성모,(없음),1,(없음)
치료재료,각막교차결합술용,아산,(없음),1,(없음)
치료재료,각막내 링 삽입수술용(원추각막),서울성모,(없음),1,(없음)
치료재료,각막내 링 삽입수술용(원추각막),아산,(없음),1,(없음)
치료재료,갑상선 양성결절의 고주파 열치료용,서울대,(없음),3,(없음)
치료재료,갑상선 양성결절의 고주파 열치료용,서울성모,(없음),3,(없음)
치료재료,갑상선 양성결절의 고주파 열치료용,아산,(없음),4,(없음)
치료재료,경막외강 신경박리술 및 감압 신경성형술용,서울대,(없음),6,(없음)
치료재료,경막외강 신경박리술 및 감압 신경성형술용,서울성모,(없음),4,(없음)
치료재료,경막외강 신경박리술 및 감압 신경성형술용,아산,(없음),3,(없음)
치료재료,경막외강 신경박리술용,서울대,(없음),1,(없음)
